Gemüse 1,Gemüse 2,Nachbar
Zwiebeln,Salat,gut
Zwiebeln,Bohnen,schlecht
Zwiebeln,Erbsen,schlecht
Zwiebeln,Kohle,schlecht
Zwiebeln,Lauch,schlecht
Mangold,Buschbohnen,gut
Mangold,Radieschen,gut
Mangold,Mairüben,gut
Mangold,Kohl,gut
Mangold,Möhren,gut
Kürbis,Stangenbohnen,gut
Kürbis,Ringelblume,gut
